"message_datetime";"route";"run";"vehicle";"latitude";"longitude";"position";"cnt";"month";"day"
"2017-09-25 09:22:40";"512";"4";"4184";"43.684383";"-79.415001";"0101000020E6100000ABB35A608FDA53C01C78B5DC99D74540";"2";"9";"1"
"2017-09-29 09:31:00";"512";"37";"4087";"43.677849";"-79.443520";"0101000020E6100000CEC7B5A162DC53C02B508BC1C3D64540";"2";"9";"5"
"2017-09-29 09:31:00";"512";"5";"4087";"43.677849";"-79.443520";"0101000020E6100000CEC7B5A162DC53C02B508BC1C3D64540";"2";"9";"5"
"2017-09-11 09:22:00";"504";"28";"4156";"43.658318";"-79.352570";"0101000020E61000003FE3C28190D653C01F2FA4C343D44540";"2";"9";"1"
"2017-09-18 09:25:20";"512";"1";"4017";"43.684383";"-79.415634";"0101000020E6100000C34659BF99DA53C01C78B5DC99D74540";"2";"9";"1"
"2017-09-28 09:24:40";"512";"5";"4425";"43.688168";"-79.394150";"0101000020E6100000FAEDEBC039D953C0AD1397E315D84540";"2";"9";"4"
"2017-09-28 09:24:40";"512";"2";"4425";"43.688316";"-79.393150";"0101000020E6100000091B9E5E29D953C022A81ABD1AD84540";"2";"9";"4"
"2017-09-06 09:21:40";"512";"22";"4134";"43.688232";"-79.391602";"0101000020E610000016C3D50110D953C0C40776FC17D84540";"2";"9";"3"
"2017-09-14 09:22:20";"504";"5";"4100";"43.670052";"-79.353470";"0101000020E61000007F87A2409FD653C0484F9143C4D54540";"2";"9";"4"
"2017-09-26 09:18:00";"509";"3";"4421";"43.636234";"-79.410103";"0101000020E6100000753FA7203FDA53C0384D9F1D70D14540";"2";"9";"2"
"2017-09-26 09:18:00";"509";"2";"4421";"43.636234";"-79.410103";"0101000020E6100000753FA7203FDA53C0384D9F1D70D14540";"2";"9";"2"
"2017-09-25 09:13:00";"512";"1";"4419";"43.674850";"-79.457230";"0101000020E610000001309E4143DD53C051DA1B7C61D64540";"2";"9";"1"
